[1029/150713.971:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1029/154229.631:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154234.640:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154239.661:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154244.690:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154249.701:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154254.715:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154259.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154304.741:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154309.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154314.786:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154319.798:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154324.807:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154329.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154334.832:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154339.844:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154344.863:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154349.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154354.886:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154359.913:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154404.918:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154409.927:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154414.955:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154419.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154424.972:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1029/154429.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
